2153;Chateau d'Eau;[2487, 2208];48.8724541509199;2.3560561681302907
1641;Saint-Marcel;[2017, 2206];48.838516743515164;2.360727550361784
2154;Chateau de Vincennes;[2067];48.84432514436857;2.440552346211822
1642;Saint-Paul (Le Marais);[2288, 2062];48.85513451823504;2.3613343390676635
2155;Chatelet;[2331, 2288, 1855, 2344, 2345, 2210, 2435];48.85856967247972;2.347933245835307
2156;Abbesses;[1920, 2401];48.8843997149084;2.338399384171042
1645;Raspail;[1996, 2502, 1930];48.83915698149679;2.330474151162931
1646;Rennes;[1666, 2309];48.848198268824774;2.3280217486281134
2159;Alesia;[1735, 1828];48.82806601968645;2.326827420050836
2160;Alexandre-Dumas;[2398, 2058];48.856426348325236;2.394554257654992
1649;Place Monge (Jardin des Plantes);[2139, 2232];48.843164692766834;2.3521103624150967
2162;Alma-Marceau;[2200, 2291];48.86429867104669;2.3012514104499293
2163;Anatole-France;[2341, 1862];48.892018626328884;2.2855174447944844
2164;Breguet-Sabin;[2062, 2445];48.856767949540505;2.3707738583843816
2165;Brochant;[1741, 2536];48.89062663302413;2.320191121275328
2167;Cluny-La Sorbonne;[2350, 2312];48.85079575570429;2.3450308883652258
2168;Colonel Fabien;[2296, 2548];48.87818498179219;2.3701745466363584
2170;Concorde;[2544, 1688, 3343761, 2052];48.86567809641779;2.321193771801867
1665;Sevres-Lecourbe;[2135, 2391];48.84499615085685;2.310864830044154
1666;Sevres-Babylone;[2334, 2500, 1710, 1646];48.85093928843075;2.3261146548222844
1668;Simplon;[2535, 2420];48.89412344466592;2.347245444443029
1669;Solferino;[2052, 1710];48.858533359508236;2.323089248787209
2191;Botzaris;[2132, 1797];48.87960708893313;2.389415569653207
2193;Boulogne-Jean-Jaures;[2355, 2005];48.84228014352973;2.238862975367271
1681;Sully-Morland;[2232, 2344];48.85079359474211;2.3612369937142983
1682;Telegraphe;[1797, 1752];48.87552244924565;2.3986765111449513
1683;Temple;[2099, 2376];48.866764167814516;2.3615713270327316
1684;Ternes;[2147, 1989];48.87822804050767;2.2981214325821844
1685;Tolbiac;[1876, 2403];48.82615945391136;2.3570194661891253
1686;Trinite-d'Estienne d'Orves;[2308, 1722];48.8763290374387;2.331804568510596
2199;Fort d'Aubervilliers;[2055, 2236];48.91405674514657;2.403576334511007
1687;Trocadero;[2073, 2390, 2291, 2453];48.862666905879294;2.2872630615532628
2200;Franklin-Roosevelt;[1961, 2544, 1730, 2162];48.869010427937624;2.3102531808960265
1688;Tuileries;[2170];48.86478016250008;2.3290949544294275
2202;Gabriel-Peri;[1662795, 1872];48.916574835983226;2.2943289646870606
2203;Gaite;[1824, 2397];48.838751821388634;2.322509186224712
2204;Gallieni (Parc de Bagnolet);[1737];48.86326252650054;2.415975368499958
2205;Gambetta;[2394, 1737, 1783];48.864782700687876;2.398445833771861
2206;Gare d'Austerlitz;[1641, 1759, 2232];48.84341422414371;2.3641883928676424
2208;Gare de l'Est (Verdun);[2153, 2212, 2294, 2373, 2546];48.87669583602489;2.3579925105504023
2210;Gare de Lyon;[2062, 2443, 2068, 2155];48.84555978708341;2.37344920496318
2212;Gare du Nord;[2208, 2547, 2484];48.87974306422535;2.3546008104722334
2214;Garibaldi;[1874, 2426];48.906382164226436;2.3319104734589318
2218;Goncourt (Hopital Saint-Louis);[2376, 2548];48.87001535524704;2.3707687990214654
1710;Rue du Bac;[1669, 1666];48.85589133781551;2.325704993899314
1714;Saint-Ambroise;[1633, 2310];48.86164742429928;2.373147140772303
1715;Saint-Augustin;[2358];48.87438676021276;2.3207278319647315
